humidity,temperature,luminosity,label
38,31.26,103.12,sec
90,14.52,902.55,tres_humide
70,16.85,505.25,inconnu
58,38.96,826.46,humide
19,30.19,320.05,sec
19,12.28,895.52,inconnu
10,15.04,389.2,inconnu
82,31.91,10.84,inconnu
59,12.15,905.38,inconnu
68,16.82,91.29,inconnu
6,28.46,319.31,optimal
92,32.76,950.06,inconnu
79,31.56,950.61,inconnu
24,18.73,573.44,inconnu
21,33.37,631.84,sec
21,19.12,448.45,inconnu
32,21.76,293.21,humide
52,34.39,328.66,sec
43,31.49,672.52,sec
31,37.48,752.37,optimal
60,31.73,791.58,optimal
17,29.05,789.62,optimal
31,14.81,91.21,inconnu
37,23.03,494.42,humide
46,19.96,57.56,inconnu
75,19.32,549.53,inconnu
22,41.19,441.53,tres_sec
51,23.79,887.7,humide
58,38.76,350.92,sec
9,30.93,117.07,sec
59,35.84,142.99,sec
20,27.08,761.51,optimal
10,29.31,618.22,optimal
90,26.78,101.12,inconnu
91,17.86,84.11,inconnu
77,33.67,700.97,humide
32,20.42,72.76,humide
13,12.73,821.86,inconnu
66,31.36,706.24,optimal
44,17.31,81.35,inconnu
15,40.21,84.84,tres_sec
49,40.62,986.64,inconnu
8,39.45,374.27,tres_sec
86,23.1,370.64,inconnu
28,12.46,812.8,inconnu
64,39.85,947.25,inconnu
33,24.85,986.0,inconnu
51,41.0,753.38,optimal
54,40.91,376.26,sec
21,37.59,83.5,tres_sec
92,20.83,777.15,inconnu
74,23.55,558.4,humide
89,37.53,424.22,inconnu
85,21.51,906.35,inconnu
58,17.08,111.2,inconnu
87,28.7,492.63,inconnu
12,40.08,11.35,tres_sec
22,32.88,468.66,sec
9,29.1,56.3,optimal
34,14.92,118.82,inconnu
39,30.45,117.53,sec
29,41.7,649.21,sec
79,16.2,746.04,inconnu
37,27.55,583.37,optimal
30,38.32,962.17,inconnu
53,34.22,374.87,sec
17,32.91,285.71,sec
77,33.07,868.6,humide
11,22.78,223.6,humide
93,20.81,963.22,inconnu
74,36.28,12.15,humide
22,36.3,969.88,inconnu
5,38.01,43.16,tres_sec
78,39.4,891.14,humide
68,27.34,527.7,optimal
70,27.05,992.96,inconnu
74,35.95,73.8,humide
11,31.5,553.85,sec
37,33.06,969.3,inconnu
15,35.87,523.1,sec
82,38.7,629.4,inconnu
61,22.14,695.75,humide
34,23.27,454.54,humide
10,14.82,627.56,inconnu
32,29.35,584.31,optimal
34,13.08,901.16,inconnu
70,25.97,45.45,humide
62,28.28,280.96,optimal
84,20.6,950.41,inconnu
47,29.72,890.26,humide
15,12.92,455.66,inconnu
69,13.12,620.13,inconnu
73,36.68,277.38,humide
55,22.81,188.12,humide
74,15.81,463.7,inconnu
49,27.67,353.35,optimal
52,35.1,583.66,sec
43,18.47,77.73,inconnu
7,30.69,974.39,inconnu
14,14.56,986.21,inconnu
7,13.55,698.16,inconnu
62,27.94,536.1,optimal
33,28.22,309.53,optimal
50,31.12,813.8,humide
86,33.78,684.73,inconnu
27,41.28,162.62,tres_sec
41,27.49,910.93,inconnu
72,21.69,822.54,humide
25,35.86,949.8,inconnu
11,20.12,725.72,humide
31,25.17,613.42,optimal
19,14.35,418.24,inconnu
88,12.76,932.73,tres_humide
77,40.88,866.06,humide
62,37.08,45.22,optimal
83,32.88,26.37,inconnu
77,24.27,376.46,humide
21,17.2,810.55,inconnu
85,16.69,987.28,tres_humide
53,19.51,150.42,inconnu
77,28.48,594.13,humide
85,33.44,380.89,inconnu
33,31.81,969.91,inconnu
14,20.4,842.12,humide
25,40.65,838.33,humide
43,34.14,468.69,sec
78,28.63,414.82,humide
82,30.35,273.41,inconnu
5,24.59,56.38,humide
50,19.43,864.72,inconnu
42,22.68,812.9,humide
24,34.74,999.72,inconnu
15,12.43,996.64,inconnu
35,15.48,555.43,inconnu
89,13.38,768.99,inconnu
34,13.22,944.77,inconnu
51,37.66,849.65,humide
68,33.11,247.35,optimal
37,26.23,450.54,optimal
92,14.94,129.16,inconnu
91,26.75,954.05,inconnu
27,26.2,606.17,optimal
49,17.2,228.64,inconnu
